,,RSSD ID,2867337,2867337,2867337,2867337,2867337,2867337
,,Name,Five Star Bank,Five Star Bank,Five Star Bank,Five Star Bank,Five Star Bank,Five Star Bank
,,Type,Bank,Bank,Bank,Bank,Bank,Bank
,,Period,3/31/2024,6/30/2024,9/30/2024,12/31/2024,3/31/2025,6/30/2025
,,Duration,MRQ,MRQ,MRQ,MRQ,MRQ,MRQ
Field,QA Field ID,Field Type,,,,,,
Demand Deposits,2907,Bank,"1,117,467","1,128,836","1,233,619","1,239,806","1,234,715","1,299,051"
Other Transaction Accounts,2938,Bank,0,0,0,0,0,0
Total Transaction Accounts,2963,Bank,"1,117,467","1,128,836","1,233,619","1,239,806","1,234,715","1,299,051"
Money Market Accounts,2920,Bank,"1,437,721","1,569,967","1,552,618","1,532,090","1,581,867","1,711,156"
Other Savings Accounts,2937,Bank,"121,417","126,532","131,561","124,702","128,210","121,567"
Total Savings Accounts,2961,Bank,"1,559,138","1,696,499","1,684,179","1,656,792","1,710,077","1,832,723"
Time Deposits < $100k,2943,Bank,"44,759","120,031","277,991","302,860","402,918","368,748"
Time Deposits $100k-$250k,2941,Bank,"21,694","21,324","21,969","23,414","22,482","26,145"
Time Deposits > $250k,2942,Bank,"221,726","192,094","191,105","343,918","376,039","377,271"
Total Time Deposits,2962,Bank,"288,179","333,449","491,065","670,192","801,439","772,164"
Total Domestic Deposits,1522,Bank,"2,964,783","3,158,784","3,408,863","3,566,789","3,746,231","3,903,938"
Total Foreign Deposits,1524,Bank,0,0,0,0,0,0
Total Deposits,46,Bank,"2,964,783","3,158,784","3,408,863","3,566,789","3,746,231","3,903,938"
Total Deposits / Total Liabilities,2859,Bank,94.9,98.9,99.1,99.2,99.1,99.1
Total Deposits / Assets,68,Bank,85.3,86.9,87.7,88.0,88.3,88.5
Total Noninterest Bearing Deposits,1828,Bank,"826,399","834,886","915,823","931,423","943,528","1,013,376"
Nonbrokered Listing Service Deposits,2922,Bank,0,0,0,0,0,0
Reciprocal Brokered Deposits,2939,Bank,"5,545","67,818","18,554",0,0,"6,016"
Other Brokered Deposits,2923,Bank,"42,000","117,000","275,000","300,000","400,000","366,444"
Total Brokered Deposits,2946,Bank,"47,545","184,818","293,554","300,000","400,000","372,460"
Total State & Political Subdivision Deposits,3096,Bank,"707,908","724,883","684,243","865,619","886,886","912,617"
Core Deposits,1750,Bank,"2,701,058","2,849,690","2,942,758","2,922,872","2,970,192","3,160,223"
Number of Deposit Accounts ≤ $250k,1857,Bank,"12,092","13,473","13,743","14,061","14,102","14,858"
Number of Deposit Accounts > $250k,1859,Bank,"1,429","1,501","1,527","1,596","1,648","1,763"
Total Number of Deposit Accounts,1861,Bank,"13,521","14,974","15,270","15,657","15,750","16,621"
Total Cost of Deposits,1176,Bank,2.60,2.45,2.57,2.65,2.40,2.40
Demand Deposits (% Composition),1418,Bank,37.7,35.7,36.2,34.8,33.0,33.3
Other Transaction Accounts (% Composition),1497,Bank,0.0,0.0,0.0,0.0,0.0,0.0
Total Transaction Accounts (% Composition),1551,Bank,37.7,35.7,36.2,34.8,33.0,33.3
Money Market Deposit Accounts (% Composition),1481,Bank,48.5,49.7,45.5,43.0,42.2,43.8
Other Savings Accounts (% Composition),1496,Bank,4.1,4.0,3.9,3.5,3.4,3.1
Total Savings Accounts (% Composition),1534,Bank,52.6,53.7,49.4,46.5,45.6,46.9
Time Deposits < $100k (% Composition),1547,Bank,1.5,3.8,8.2,8.5,10.8,9.4
Time Deposits $100k-250k (% Composition),1540,Bank,0.7,0.7,0.6,0.7,0.6,0.7
Time Deposits > $250k (% Composition),1544,Bank,7.5,6.1,5.6,9.6,10.0,9.7
Total Time Deposits (% Composition),1545,Bank,9.7,10.6,14.4,18.8,21.4,19.8
Total Noninterest Bearing Deposits (% Composition),1523,Bank,27.9,26.4,26.9,26.1,25.2,26.0
Nonbrokered Listing Service Deposits (% Composition),1486,Bank,0.0,0.0,0.0,0.0,0.0,0.0
Reciprocal Brokered Deposits (% Composition),1500,Bank,0.2,2.1,0.5,0.0,0.0,0.2
Other Brokered Deposits (% Composition),3075,Bank,1.4,3.7,8.1,8.4,10.7,9.4
Total Brokered Deposits (% Composition),1514,Bank,1.6,5.9,8.6,8.4,10.7,9.5
Total State & Political Subdivision Deposits (% Composition),3097,Bank,23.9,22.9,20.1,24.3,23.7,23.4
Total Core Deposits (% Composition),1515,Bank,91.1,90.2,86.3,81.9,79.3,80.9
